id,cast,director
62211,[],Dan Scanlon
8373,"[""Shia LaBeouf"", ""Megan Fox"", ""Josh Duhamel"", ""Rainn Wilson"", ""Tyrese Gibson"", ""John Turturro"", ""Kevin Dunn"", ""Julie White"", ""Ram\u00f3n Rodr\u00edguez"", ""Isabel Lucas"", ""Glenn Morshower"", ""Hugo Weaving"", ""Marc Evan Jackson"", ""Peter Cullen"", ""Arnold Chun"", ""Katie Lowes"", ""Mark Ryan"", ""Reno Wilson"", ""Jess Harnell"", ""Robert Foxworth"", ""Andr\u00e9 Sogliuzzo"", ""Grey Griffin"", ""Tony Todd"", ""Charlie Adler"", ""Frank Welker"", ""Tom Kenny"", ""Calvin Wimmer"", ""John Di Crosta"", ""Michael York"", ""Kevin Michael Richardson"", ""Robin Atkin Downes"", ""John Eric Bentley"", ""America Olivo"", ""Michael Papajohn"", ""Andrew Howard"", ""Matthew Marsden"", ""Deep Roy""]",Michael Bay
91314,[],Michael Bay
68728,[],Sam Raimi
102382,[],Marc Webb
20526,[],Joseph Kosinski
49013,[],"John Lasseter,Brad Lewis"
44912,"[""Ryan Reynolds"", ""Blake Lively"", ""Peter Sarsgaard"", ""Tim Robbins"", ""Mark Strong"", ""Temuera Morrison"", ""Jenna Craig"", ""Jon Tenney"", ""Mike Doyle"", ""NicK Jandl"", ""Dylan James"", ""Leanne Cochran"", ""Angela Bassett"", ""Taika Waititi"", ""Michael Clarke Duncan"", ""Geoffrey Rush"", ""Clancy Brown"", ""Deke Anderson"", ""Gattlin Griffith"", ""Tiffany Morgan"", ""Amy Carlson"", ""Laura Cayouette"", ""Dorian Kingi""]",Martin Campbell
10193,[],
534,"[""Christian Bale"", ""Sam Worthington"", ""Anton Yelchin"", ""Moon Bloodgood"", ""Bryce Dallas Howard"", ""Helena Bonham Carter"", ""Common"", ""Roland Kickinger"", ""Michael Ironside"", ""Jane Alexander"", ""Chris Browning"", ""Chris Ashworth"", ""Jadagrace"", ""David Midthunder"", ""Arnold Schwarzenegger""]",McG
168259,[],
72190,[],Marc Forster
127585,[],
54138,[],
81005,[],Bryan Singer
64682,[],Baz Luhrmann
9543,[],
68726,[],Guillermo del Toro
38356,[],Michael Bay
217,[],Steven Spielberg
105864,"[""Raymond Ochoa"", ""Jack Bright"", ""Jeffrey Wright"", ""Frances McDormand"", ""Maleah Nipay-Padilla"", ""Ryan Teeple"", ""Jack McGraw"", ""Marcus Scribner"", ""Peter Sohn"", ""Steve Zahn"", ""Mandy Freund"", ""Steven Clay Hunter"", ""A.J. Buckley"", ""Anna Paquin"", ""Sam Elliott"", ""David Boat"", ""Carrie Paff"", ""Calum Grant"", ""John Ratzenberger""]",Peter Sohn
62177,[],"Brenda Chapman,Mark Andrews,Steve Purcell"
188927,[],
10681,[],
5174,"[""Chris Tucker"", ""Jackie Chan"", ""Hiroyuki Sanada"", ""Max von Sydow"", ""Yvan Attal"", ""Roman Polanski"", ""Zhang Jingchu"", ""Philip Baker Hall"", ""No\u00e9mie Lenoir"", ""Sarah Shahi"", ""Youki Kudoh"", ""Tzi Ma"", ""Dana Ivey"", ""Henry O"", ""Mia Tyler"", ""Michael Chow"", ""Kentaro"", ""Ann Christine""]",Brett Ratner
14161,"[""John Cusack"", ""Amanda Peet"", ""Chiwetel Ejiofor"", ""Thandie Newton"", ""Oliver Platt"", ""Tom McCarthy"", ""Woody Harrelson"", ""Danny Glover"", ""Liam James"", ""Morgan Lily"", ""Beatrice Rosen"", ""Johann Urb"", ""John Billingsley"", ""Chin Han"", ""Osric Chau"", ""Lisa Lu"", ""Chang Tseng"", ""Blu Mankuma"", ""George Segal"", ""Stephen McHattie"", ""Jimi Mistry"", ""Ryan McDonald"", ""Zlatko Buri\u0107"", ""Philippe Haussmann"", ""Alexandre Haussmann"", ""Beverley Elliott"", ""Patrick Bauchau"", ""Tanya Champoux"", ""Merrilyn Gann"", ""Henry O"", ""Patrick Gilmore"", ""Dean Marshall"", ""Ron Selmour"", ""Viv Leacock"", ""Chris Boyd"", ""Jason Diablo"", ""Anna Mae Routledge"", ""Jill Morrison"", ""Chad Riley"", ""Jason Anthony Griffith"", ""Alex Zahara"", ""Donna Yamamoto"", ""Doron Bell"", ""David Orth"", ""Ty Olsson"", ""Lyndall Grant"", ""Agam Darshi"", ""Raj Lal"", ""Alexandra Castillo"", ""John Mee"", ""Candus Churchill"", ""Luis Javier""]",
17979,[],Robert Zemeckis
76757,[],
258489,[],David Yates
411,"[""William Moseley"", ""Anna Popplewell"", ""Skandar Keynes"", ""Georgie Henley"", ""Liam Neeson"", ""Tilda Swinton"", ""James McAvoy"", ""Jim Broadbent"", ""Kiran Shah"", ""James Cosmo"", ""Judy McIntosh"", ""Elizabeth Hawthorne"", ""Patrick Kake"", ""Rachael Henley"", ""Mark Wells"", ""Noah Huntley"", ""Sophie Winkleman"", ""Ray Winstone"", ""Dawn French"", ""Rupert Everett"", ""Cameron Rhodes"", ""Philip Steuer"", ""Sim Evan-Jones"", ""Michael Madsen""]",
246655,[],
155,[],
14160,"[""Ed Asner"", ""Christopher Plummer"", ""Jordan Nagai"", ""Bob Peterson"", ""Delroy Lindo"", ""Jerome Ranft"", ""John Ratzenberger"", ""David Kaye"", ""Elie Docter"", ""Jeremy Leary"", ""Mickie McGowan"", ""Danny Mann"", ""Donald Fullilove"", ""Jess Harnell"", ""Josh Cooley"", ""Pete Docter""]",Pete Docter
15512,"[""Seth Rogen"", ""Reese Witherspoon"", ""Hugh Laurie"", ""Paul Rudd"", ""Kiefer Sutherland"", ""Rainn Wilson"", ""Will Arnett"", ""Stephen Colbert"", ""Jimmy Kimmel"", ""Julie White"", ""Jeffrey Tambor"", ""Amy Poehler"", ""Ed Helms"", ""Ren\u00e9e Zellweger"", ""Sean Bishop"", ""Rich Dietl"", ""Rob Letterman"", ""Tom McGrath"", ""Chris Miller"", ""Mike Mitchell"", ""Kent Osborne"", ""Latifa Ouaou"", ""Geoffrey Pomeroy"", ""David P. Smith"", ""Lisa Stewart"", ""Conrad Vernon"", ""John Krasinski"", ""Stephen Kearin""]","Conrad Vernon,Rob Letterman"
1726,[],Jon Favreau
44826,[],Martin Scorsese
8487,[],Barry Sonnenfeld
1735,[],
297761,[],David Ayer
2698,"[""Steve Carell"", ""Lauren Graham"", ""John Goodman"", ""Jimmy Bennett"", ""John Michael Higgins"", ""Morgan Freeman"", ""Wanda Sykes"", ""Graham Phillips"", ""Johnny Simmons"", ""Jonah Hill"", ""Ed Helms"", ""Dean Norris"", ""James Newman"", ""Molly Shannon"", ""Lucia Forte"", ""Harry S. Murphy"", ""Don Dowe"", ""Maile Flanagan""]",Tom Shadyac
137113,"[""Tom Cruise"", ""Emily Blunt"", ""Brendan Gleeson"", ""Bill Paxton"", ""Jonas Armstrong"", ""Tony Way"", ""Kick Gurry"", ""Franz Drameh"", ""Dragomir Mrsic"", ""Charlotte Riley"", ""Masayoshi Haneda"", ""Terence Maynard"", ""Noah Taylor"", ""Lara Pulver"", ""Madeleine Mantock"", ""Marianne Jean-Baptiste"", ""Jeremy Piven"", ""Beth Goddard"", ""Assly Zandry"", ""Sebastian Blunt"", ""Ronan Summers"", ""Aaron Romano"", ""Usman Akram"", ""Bentley Kalu"", ""Mairead McKinley"", ""Andrew Neil"", ""Martin Hyder"", ""Tommy Campbell"", ""John Dutton"", ""Harry Landis"", ""Rachel Handshaw"", ""Martin McDougall"", ""Anna Botting"", ""Jane Hill"", ""Erin Burnett"", ""Dany Cushmaro"", ""David Kaye"", ""Elaine Caulfield"", ""Lee Asquith-Coe"", ""Stuart Matthews""]",Doug Liman
9804,"[""Kevin Costner"", ""Chaim Girafi"", ""Rick Aviles"", ""R. D. Call"", ""Zitto Kazann"", ""Jeanne Tripplehorn"", ""Dennis Hopper"", ""Jack Black"", ""Zakes Mokae"", ""Jack Kehler"", ""Tina Majorino"", ""Rita Zohar"", ""Gerard Murphy"", ""Michael Jeter"", ""Kim Coates""]",
14869,[],Stephen Sommers
150540,[],
278927,[],Jon Favreau
10138,[],
58595,[],Rupert Sanders
102651,[],Robert Stromberg
119450,[],
79698,"[""Josh Hartnett"", ""Simone Kessell"", ""Tamsin Egerton"", ""Alice Englert"", ""Bipasha Basu"", ""Abhay Deol"", ""Tehmina Sunny"", ""Shane Briant"", ""Steve Nicolson"", ""Atul Kulkarni"", ""Om Puri"", ""Roshan Seth"", ""Mahesh Jadu"", ""Andrea Deck"", ""James Mackay"", ""Aegina De Vas"", ""Anna McNiven"", ""Bryan Probets"", ""Vijay Thombre""]",
64686,[],
100402,[],
10192,"[""Mike Myers"", ""Eddie Murphy"", ""Cameron Diaz"", ""Antonio Banderas"", ""Julie Andrews"", ""Jon Hamm"", ""John Cleese"", ""Craig Robinson"", ""Walt Dohrn"", ""Jane Lynch"", ""Lake Bell"", ""Kathy Griffin"", ""Mary Kay Place"", ""Kristen Schaal"", ""Meredith Vieira"", ""Ryan Seacrest"", ""Cody Cameron"", ""Larry King"", ""Regis Philbin"", ""Christopher Knights"", ""Conrad Vernon"", ""Aron Warner"", ""Jasper Johannes Andrews"", ""Ollie Mitchell"", ""Miles Bakshi"", ""Nina Zoe Bakshi"", ""Billie Hayes"", ""Jeremy Hollingworth"", ""Brian Hopkins"", ""Chris Miller"", ""Mike Mitchell"", ""James Ryan"", ""Ashley Boettcher"", ""Danielle Soibelman"", ""Frank Welker""]",Mike Mitchell
158852,[],Brad Bird
177572,[],"Chris Williams,Don Hall"
82690,[],Rich Moore
5255,"[""Tom Hanks"", ""Michael Jeter"", ""Nona Gaye"", ""Peter Scolari"", ""Eddie Deezen"", ""Leslie Zemeckis"", ""Steven Tyler"", ""Julene Renee"", ""Chris Coppola"", ""Charles Fleischer""]",
47933,"[""Liam Hemsworth"", ""Jeff Goldblum"", ""Bill Pullman"", ""Maika Monroe"", ""Sela Ward"", ""William Fichtner"", ""Vivica A. Fox"", ""Charlotte Gainsbourg"", ""Brent Spiner"", ""Judd Hirsch"", ""Patrick St. Esprit"", ""Joey King"", ""Jessie Usher"", ""Chin Han"", ""AngelaBaby"", ""Grace Huang"", ""Ryan Cartwright"", ""Garrett Wareing"", ""Gbenga Akinnagbe"", ""Mckenna Grace"", ""Ron Yuan"", ""Alice Rietveld"", ""Nicolas Wright"", ""Travis Tope"", ""James A. Woods"", ""Robert Loggia"", ""Deobia Oparei"", ""Travis Hammer"", ""John Storey"", ""Hays Wellford"", ""Sam Quinn"", ""Alma Sisneros"", ""Diana Gaitirira"", ""Humberto Castro"", ""Richard Beal"", ""Joshua Mikel"", ""Monique Candelaria"", ""Stafford Douglas"", ""Robert Neary"", ""Beth Bailey"", ""Mona Malec"", ""Grizelda Quintana"", ""Lance Lim"", ""Brandon K. Hampton"", ""Kenny Leu"", ""Joel Virgel"", ""Jacob Browne"", ""Matthew Munroe"", ""Jade Scott Lewis"", ""Zeb Sanders"", ""Donovan Tyee Smith"", ""Omar Diop"", ""Stephen Oyoung"", ""Casey Messer"", ""J.P. Murrieta"", ""Ava Del Cielo"", ""Leilei Chen"", ""Catharine Pilafas"", ""Katrina Kavanaugh"", ""Jason E. Hill"", ""Sylvie Hagan"", ""Evan Bryn Graves"", ""Aaron Tyler"", ""Jenna Purdy"", ""Arturo del Puerto"", ""Ben Wang"", ""Nicholas Ballas""]",
10191,"[""Jay Baruchel"", ""Gerard Butler"", ""Craig Ferguson"", ""America Ferrera"", ""Jonah Hill"", ""Christopher Mintz-Plasse"", ""T.J. Miller"", ""Kristen Wiig"", ""Robin Atkin Downes"", ""Philip McGrade"", ""Kieron Elliott"", ""Ashley Jensen"", ""David Tennant""]",
296,[],Jonathan Mostow
118340,[],
157336,"[""Matthew McConaughey"", ""Jessica Chastain"", ""Anne Hathaway"", ""Michael Caine"", ""Casey Affleck"", ""Mackenzie Foy"", ""Timoth\u00e9e Chalamet"", ""Bill Irwin"", ""Matt Damon"", ""Ellen Burstyn"", ""John Lithgow"", ""Wes Bentley"", ""Topher Grace"", ""David Oyelowo"", ""David Gyasi"", ""William Devane"", ""Josh Stewart"", ""Collette Wolfe"", ""Leah Cairns"", ""Russ Fega"", ""Lena Georgas"", ""Jeff Hephner"", ""Elyes Gabel"", ""Brooke Smith"", ""Liam Dickinson"", ""Francis X. McCarthy"", ""Andrew Borba"", ""Flora Nolan"", ""William Patrick Brown"", ""Cici Leah Campbell"", ""Kristian Van der Heyden"", ""Mark Casimir Dyniewicz"", ""Joseph Oliveira"", ""Ryan Irving"", ""Alexander Michael Helisek"", ""Benjamin Hardy""]",Christopher Nolan
27205,[],Christopher Nolan
315011,[],"Hideaki Anno,Shinji Higuchi"
49051,[],Peter Jackson
9799,[],
4922,[],
49538,[],
131634,[],
27022,"[""Nicolas Cage"", ""Jay Baruchel"", ""Monica Bellucci"", ""Alfred Molina"", ""Teresa Palmer"", ""Ethan Peck"", ""Alice Krige"", ""Peyton List"", ""Toby Kebbell"", ""Omar Benson Miller"", ""Jake Cherry"", ""James A. Stephens"", ""Gregory Woo"", ""Ian Alda""]",Jon Turteltaub
503,"[""Kurt Russell"", ""Richard Dreyfuss"", ""Josh Lucas"", ""Jacinda Barrett"", ""Emmy Rossum"", ""Mike Vogel"", ""M\u00eda Maestro"", ""Jimmy Bennett"", ""Andre Braugher"", ""Freddy Rodr\u00edguez"", ""Kevin Dillon"", ""Kirk B.R. Woller"", ""Fergie"", ""Gabriel Jarret""]",Wolfgang Petersen
241259,[],
810,"[""Mike Myers"", ""Eddie Murphy"", ""Cameron Diaz"", ""Julie Andrews"", ""Antonio Banderas"", ""John Cleese"", ""Rupert Everett"", ""Eric Idle"", ""Amy Sedaris"", ""Justin Timberlake"", ""John Krasinski"", ""Maya Rudolph"", ""Amy Poehler"", ""Seth Rogen"", ""David P. Smith"", ""Susanne Blakeslee"", ""Cody Cameron"", ""Larry King"", ""Christopher Knights"", ""Ian McShane"", ""Cheri Oteri"", ""Regis Philbin"", ""Conrad Vernon"", ""Aron Warner"", ""Jasper Johannes Andrews"", ""Guillaume Aretos"", ""Kelly Asbury"", ""Zachary James Bernard"", ""Andrew Birch"", ""Sean Bishop"", ""Kelly Cooney"", ""Walt Dohrn"", ""Dante James Hauser"", ""Jordan Alexander Hauser"", ""Tom Kane"", ""Tom McGrath"", ""Chris Miller"", ""Latifa Ouaou"", ""Alina Phelan"", ""Mark Valley"", ""Kari Wahlgren""]","Chris Miller,Raman Hui"
68735,[],
87101,[],
10140,"[""Skandar Keynes"", ""Georgie Henley"", ""Simon Pegg"", ""Gary Sweet"", ""Arthur Angel"", ""Tilda Swinton"", ""Tony Nixon"", ""Shane Rangi"", ""Colin Moody"", ""Ben Barnes"", ""Will Poulter"", ""Terry Norris"", ""Bruce Spence"", ""Bille Brown"", ""Laura Brent"", ""Anna Popplewell"", ""William Moseley"", ""Liam Neeson"", ""Arabella Morton""]",Michael Apted
676,[],
1858,[],Michael Bay
1966,[],Oliver Stone
675,[],David Yates
674,[],Mike Newell
8960,"[""Will Smith"", ""Charlize Theron"", ""Jason Bateman"", ""Jae Head"", ""Eddie Marsan"", ""David Mattey"", ""Thomas Lennon"", ""Johnny Galecki"", ""Hayley Marie Norman"", ""Trieu Tran"", ""Darrell Foster"", ""Ryan Radis"", ""Daeg Faerch"", ""Eddie J. Fernandez"", ""Martin Klebba"", ""Matt Bettinelli-Olpin"", ""Samantha Cannon"", ""Rico Devereaux"", ""Brandon Ford Green"", ""Johnathan Hallgrey"", ""Alexa Havins"", ""Edward M. Kelahan"", ""Algerita Wynn Lewis"", ""Rick Mali"", ""Chris Mitchell"", ""Scott Michael Morgan"", ""Bryan Keith Ponton"", ""Dawn Ressy"", ""Nicholas Rich"", ""Ron Fassler"", ""Mark Simich"", ""Nancy Grace"", ""Brad Leland""]",Peter Berg
6479,"[""Will Smith"", ""Alice Braga"", ""Charlie Tahan"", ""Salli Richardson-Whitfield"", ""Willow Smith"", ""Emma Thompson"", ""Darrell Foster"", ""Joanna Numata"", ""Dash Mihok"", ""Samuel Glen"", ""Pedro Mojica"", ""Marin Ireland"", ""Alexander DiPersia""]",Francis Lawrence
118,"[""Johnny Depp"", ""Freddie Highmore"", ""David Kelly"", ""AnnaSophia Robb"", ""Julia Winter"", ""Jordan Fry"", ""Philip Wiegratz"", ""Helena Bonham Carter"", ""Noah Taylor"", ""Missi Pyle"", ""James Fox"", ""Christopher Lee"", ""Adam Godley"", ""Franziska Troegner"", ""Deep Roy"", ""Liz Smith"", ""Eileen Essell"", ""David Morris"", ""Nitin Ganatra"", ""Shelley Conn"", ""Chris Cresswell"", ""Philip Philmar"", ""Tony Kirwood"", ""Harry Taylor"", ""Francesca Hunt"", ""Geoffrey Holder"", ""Todd Boyce"", ""Kevin Eldon"", ""Mark Heap"", ""Oscar James"", ""Annette Badland"", ""D\u00e9bora Monteiro""]",Tim Burton
2062,[],
272,[],
10527,[],"Eric Darnell,Tom McGrath"
18360,"[""Ben Stiller"", ""Amy Adams"", ""Owen Wilson"", ""Hank Azaria"", ""Robin Williams"", ""Christopher Guest"", ""Steve Coogan"", ""Ricky Gervais"", ""Bill Hader"", ""Jon Bernthal"", ""Kai James"", ""Mizuo Peck"", ""Rami Malek"", ""Crystal the Monkey"", ""Mindy Kaling"", ""Jake Cherry"", ""Alain Chabat"", ""Patrick Gallagher"", ""Joe Jonas"", ""Kevin Jonas"", ""Nick Jonas"", ""Joe Jonas"", ""Kevin Jonas"", ""Nick Jonas"", ""Jay Baruchel"", ""Keith Powell"", ""Craig Robinson"", ""Clint Howard"", ""Matty Finochio"", ""Caroll Spinney"", ""Thomas Morley"", ""Eugene Levy"", ""Joe Jonas"", ""Kevin Jonas"", ""Nick Jonas"", ""George Foreman"", ""Shawn Levy"", ""Alberta Mayne"", ""Ed Helms"", ""Jonah Hill"", ""Ben Garant"", ""Thomas Lennon""]",
2080,[],Gavin Hood
605,"[""Keanu Reeves"", ""Laurence Fishburne"", ""Carrie-Anne Moss"", ""Hugo Weaving"", ""Mary Alice"", ""Helmut Bakaitis"", ""Lambert Wilson"", ""Roy Jones Jr."", ""Randall Duk Kim"", ""Harry Lennix"", ""Matt McColm"", ""Harold Perrineau"", ""Jada Pinkett Smith"", ""Gina Torres"", ""Collin Chou"", ""Cornel West"", ""Nona Gaye"", ""Monica Bellucci"", ""Maurice Morgan"", ""Bernard White"", ""Ian Bliss"", ""Bruce Spence""]","Lilly Wachowski,Lana Wachowski"
109445,"[""Kristen Bell"", ""Idina Menzel"", ""Jonathan Groff"", ""Josh Gad"", ""Santino Fontana"", ""Alan Tudyk"", ""Ciar\u00e1n Hinds"", ""Chris Williams"", ""Stephen J. Anderson"", ""Maia Wilson"", ""Edie McClurg"", ""Robert Pine"", ""Maurice LaMarche"", ""Livvy Stubenrauch"", ""Eva Bella"", ""Spencer Ganus"", ""Ava Acres"", ""Stephen Apostolina"", ""Krik Baily"", ""David Boat"", ""Paul Briggs"", ""Woody Buck"", ""Lewis Cleale"", ""Wendy Cutler"", ""Terri Douglas"", ""Eddie Frierson"", ""Jean Gilpin"", ""Jackie Gonneau"", ""Nicholas Guest"", ""Bridget Hoffman"", ""Nick Jameson"", ""Daniel Kaz"", ""John Lavelle"", ""Jennifer Lee"", ""Patricia Lentz"", ""Annie Lopez"", ""Katie Lowes"", ""Mona Marshall"", ""Dara McGarry"", ""Scott Menville"", ""Adam Overett"", ""Paul Pape"", ""Courtney Peldon"", ""Jennifer Perry"", ""Raymond S. Persi"", ""Jean-Michel Richaud"", ""Lynwood Robinson"", ""Carter Sand"", ""Jadon Sand"", ""Katie Silverman"", ""Pepper Sweeney"", ""Fred Tatasciore"", ""Annaleigh Ashford"", ""Jenica Bergere"", ""Tyree Brown"", ""June Christopher""]",
604,[],"Lilly Wachowski,Lana Wachowski"
76338,[],
76341,[],
13448,"[""Tom Hanks"", ""Ewan McGregor"", ""Ayelet Zurer"", ""Stellan Skarsg\u00e5rd"", ""Pierfrancesco Favino"", ""Armin Mueller-Stahl"", ""Thure Lindhardt"", ""David Pasquesi"", ""Cosimo Fusco"", ""Victor Alfieri"", ""Franklin Amobi"", ""Curt Lowens"", ""Bob Yerkes"", ""Nikolaj Lie Kaas"", ""Carmen Argenziano"", ""Rance Howard"", ""Gino Conforti"", ""Elya Baskin"", ""Thomas Morris"", ""August Wittgenstein"", ""Ben Bela B\u00f6hm"", ""Jeffrey Boehm"", ""Steve Kehela"", ""Ursula Brooks"", ""Rashmi"", ""Yan Cui"", ""Fritz Michel"", ""Maria Cristina Heller"", ""Pascal Petardi"", ""Kristof Konrad"", ""Masasa Moyo"", ""Ed Francis Martin"", ""Cheryl Howard"", ""Endre Hules"", ""Norbert Weisser"", ""Shelby Zemanek"", ""Justin Giddings"", ""Anna Katarina"", ""Marc Fiorini"", ""Steve Franken"", ""Jonas Fisch"", ""Howard Mungo"", ""Silvano Marchetto"", ""Paul Schmitz"", ""Richard Rosetti"", ""Xavier J. Nathan"", ""Yesenia Adame""]",
10195,[],
13053,[],"Chris Williams,Byron Howard"
19585,"[""Sam Rockwell"", ""Pen\u00e9lope Cruz"", ""Tracy Morgan"", ""Jon Favreau"", ""Steve Buscemi"", ""Nicolas Cage"", ""Edwin Louis"", ""Jared Lavette"", ""Micah Lavette"", ""Bill Nighy"", ""Will Arnett"", ""Zach Galifianakis"", ""Kelli Garner"", ""Niecy Nash"", ""Loudon Wainwright III"", ""Tyler Patrick Jones"", ""Piper Mackenzie Harris"", ""Chris Ellis"", ""Gabriel Casseus"", ""Justin Mentell"", ""Troy Robinson""]",Hoyt Yeatman
57165,"[""Sam Worthington"", ""Liam Neeson"", ""Ralph Fiennes"", ""Edgar Ram\u00edrez"", ""Toby Kebbell"", ""Rosamund Pike"", ""Bill Nighy"", ""Danny Huston"", ""John Bell"", ""Lily James"", ""Alejandro Naranjo"", ""Freddy Drabble"", ""Kathryn Carpenter"", ""Matt Milne"", ""Kett Turton"", ""Sin\u00e9ad Cusack"", ""Spencer Wilding"", ""Martin Bayfield""]",Jonathan Liebesman
62213,[],Tim Burton
177677,[],
7978,"[""Benicio del Toro"", ""Anthony Hopkins"", ""Emily Blunt"", ""Hugo Weaving"", ""Cristina Contes"", ""David Sterne"", ""Elizabeth Croft"", ""Simon Merrells"", ""Art Malik"", ""Asa Butterfield"", ""Geraldine Chaplin"", ""Olga Fedori"", ""Lorraine Hilton"", ""John Owens""]",Joe Johnston
